hydrostatic
testname,hydrostatic
result,PASS
bpressure,95.39174486915388
sample,Sample 1
fluidname,
fluidvalue,
mode,large
recordy,
recordx,
duration,1 min:21 sec
durationsecond,81
testtime,18:29:55
testdate,18/07/2022
customerid,N0048
lotno,1
dia,small
thic,1
indistry,
application,
splate,
ans,0.13562218661783731,0.1691920347905711,0.2027618829633031,0.23465323872739852,0.2665445944914939,0.29843595025558933,0.32697032120241154,0.36557564660105335,0.40921644922560496,0.44782177462424677,0.4897840848401618,0.5283894102388036,0.5653162432288088,0.6039215686274506,0.6408484016174558,0.6760967421988262,0.7113450827801948,0.7449149309529268,0.7801632715342954,0.815411612115664,95.39174486915388
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,21.0,23.0,26.0,28.0,31.0,34.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0
