hydrostatic
testname,hydrostatic
result,FAIL
bpressure,0.5038834210727074
sample,Sample 1
fluidname,
fluidvalue,
mode,large
recordy,0.44849317158769963,0.47702754253452184,0.5038834210727074
recordx,28.0,31.0,33.0
duration,1 min:1 sec
durationsecond,61
testtime,18:14:26
testdate,18/07/2022
customerid,N0048
lotno,1
dia,small
thic,1
indistry,
application,
splate,
ans,0.12454413672083398,0.15643549248492938,0.18496986343175337,0.21518272678721218,0.24371709773403438,0.2722514686808566,0.3007858396276788,0.3309987029831376,0.3612115663385964,0.3914244296940552,0.4199588006408774,0.44849317158769963,0.47702754253452184,0.5038834210727074
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,33.0
