hydrostatic
testname,hydrostatic
result,FAIL
bpressure,1.221271076523994
sample,Sample 1
fluidname,
fluidvalue,
mode,null
recordy,0.4558785381857007,0.7966124971389323,1.221271076523994
recordx,10.0,23.0,42.0
duration,1 min:8 sec
durationsecond,68
testtime,11:57:22
testdate,19/07/2022
customerid,N0048
lotno,1
dia,null
thic,1
indistry,
application,
splate,
ans,0.1638208590829322,0.23599603265430602,0.30649271381704324,0.38202487220569026,0.4558785381857007,0.5246967269398013,0.5951934081025403,0.6640115968566409,0.7311512932021049,0.7966124971389323,0.8603952086671232,0.924177920195314,0.9879606317235048,1.0483863584344224,1.112169069962615,1.1675593194476228,1.221271076523994
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,21.0,23.0,26.0,28.0,31.0,34.0,36.0,39.0,42.0
