hydrostatic
testname,hydrostatic
result,FAIL
bpressure,0.13730067902647392
sample,Sample 1
fluidname,
fluidvalue,
mode,null
recordy,0.05169756618600729,0.13226520180056411,0.13730067902647392
recordx,31.0,191.0,209.0
duration,3 min:53 sec
durationsecond,233
testtime,12:46:00
testdate,19/07/2022
customerid,N0048
lotno,1
dia,medium 7.95cm
thic,1
indistry,
application,
splate,
ans,0.011413748378728883,0.013092240787365483,0.018127718013275285,0.023163195239185086,0.026520180056458287,0.029877164873731488,0.03323414969100469,0.03659113450827789,0.03994811932555109,0.04162661173418769,0.04666208896009749,0.04834058136873409,0.05169756618600729,0.055054551003280494,0.056733043411917095,0.058411535820553695,0.061768520637826896,0.0651255054551001,0.0651255054551001,0.0684824902723733,0.0701609826810099,0.0718394750896465,0.0735179674982831,0.0768749523155563,0.0768749523155563,0.0802319371328295,0.0819104295414661,0.0835889219501027,0.0852674143587393,0.0869459067673759,0.0886243991760125,0.0903028915846491,0.0919813839932857,0.0936598764019223,0.0953383688105589,0.0970168612191955,0.0986953536278321,0.1003738460364687,0.1020523384451053,0.1020523384451053,0.1037308308537419,0.10540932326237851,0.10540932326237851,0.10876630807965171,0.10876630807965171,0.11044480048828831,0.11212329289692491,0.11212329289692491,0.11548027771419811,0.11548027771419811,0.11548027771419811,0.11715877012283471,0.11715877012283471,0.11883726253147131,0.12051575494010791,0.12051575494010791,0.12219424734874451,0.12219424734874451,0.12219424734874451,0.12219424734874451,0.12387273975738111,0.12387273975738111,0.12387273975738111,0.1255512321660177,0.1255512321660177,0.1255512321660177,0.1272297245746543,0.1289082169832909,0.1272297245746543,0.1305867093919275,0.1289082169832909,0.1305867093919275,0.1305867093919275,0.13226520180056411,0.13226520180056411,0.13226520180056411,0.13226520180056411,0.13394369420920071,0.13562218661783731,0.13562218661783731,0.13730067902647392
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,33.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0,54.0,57.0,60.0,62.0,65.0,68.0,70.0,73.0,75.0,78.0,81.0,83.0,86.0,89.0,91.0,94.0,96.0,99.0,102.0,104.0,107.0,110.0,112.0,115.0,117.0,120.0,123.0,125.0,128.0,131.0,133.0,136.0,138.0,141.0,144.0,146.0,149.0,151.0,154.0,157.0,159.0,162.0,165.0,167.0,170.0,172.0,175.0,178.0,180.0,183.0,186.0,188.0,191.0,193.0,196.0,199.0,201.0,204.0,207.0,209.0
