hydrostatic
testname,hydrostatic
result,FAIL
bpressure,2.6946517128252054
sample,Sample 1
fluidname,
fluidvalue,
mode,large
recordy,2.360631723506522,2.5301594567788186,2.6946517128252054
recordx,86.0,89.0,91.0
duration,1 min:59 sec
durationsecond,119
testtime,18:33:15
testdate,18/07/2022
customerid,N0048
lotno,1
dia,small
thic,1
indistry,
application,
splate,
ans,0.1248798352025613,0.17019913023575128,0.2138399328603029,0.2591592278934911,0.2977645532921329,0.3380483710994113,0.38672465094987274,0.44379339284351715,0.5008621347371616,0.5545738918135328,0.6049286640726308,0.6569619287403672,0.7073167009994652,0.75431448844129,0.8029907682917514,0.8483100633249396,0.8919508659494912,0.9355916685740429,0.9775539787899579,1.0161593041885997,1.0849774929427003,1.1873655298695347,1.283039597161821,1.375356679636834,1.4659952697032104,1.5583123521782234,1.6455939574273266,1.7311970702677932,1.8168001831082599,1.90240329594873,1.9829709315632869,2.061860074769207,2.184390020599679,2.360631723506522,2.5301594567788186,2.6946517128252054
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,21.0,23.0,26.0,28.0,31.0,34.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0,55.0,57.0,60.0,62.0,65.0,68.0,70.0,73.0,76.0,78.0,81.0,83.0,86.0,89.0,91.0
